DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/03/2018,11:45,MANHATTAN,10002,40.71918,-73.99029,"(40.71918, -73.99029)",DELANCEY STREET                 ,ALLEN STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3876162,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,11:45,,,40.765335,-73.90612,"(40.765335, -73.90612)",25 AVENUE                       ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3874434,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:47,BROOKLYN,11221,40.68614,-73.91619,"(40.68614, -73.91619)",,,1550      BROADWAY                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3874730,PASSENGER VEHICLE,,,,
04/03/2018,11:50,,,40.76428,-73.97302,"(40.76428, -73.97302)",EAST 59 STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unsafe Lane Changing,,,,3874668,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,11:50,BRONX,10466,40.884132,-73.84934,"(40.884132, -73.84934)",,,3970      LACONIA AVENUE                ,1,0,1,0,0,0,0,0,Unspecified,,,,,3875463,SPORT UTILITY / STATION WAGON,,,,
04/03/2018,11:51,BROOKLYN,11214,40.607258,-74.00265,"(40.607258, -74.00265)",18 AVENUE                       ,86 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874543,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,11:52,QUEENS,11366,40.721466,-73.804535,"(40.721466, -73.804535)",164 STREET                      ,UNION TURNPIKE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3874673,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
04/03/2018,11:53,MANHATTAN,10011,40.739243,-73.99919,"(40.739243, -73.99919)",7 AVENUE                        ,WEST 15 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3876211,SPORT UTILITY / STATION WAGON,TAXI,,,
04/03/2018,11:54,QUEENS,11363,40.77067,-73.7355,"(40.77067, -73.7355)",LITTLE NECK PARKWAY             ,NORTHERN BOULEVARD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3874779,PASSENGER VEHICLE,,,,
04/03/2018,11:55,,,,,,WEST 33 STREET                  ,WEST STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3876214,RV,TK,,,
04/03/2018,11:55,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3874721,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
04/03/2018,12:00,,,40.638523,-74.01,"(40.638523, -74.01)",7 AVENUE                        ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3874864,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,12:00,,,40.73715,-73.930824,"(40.73715, -73.930824)",BORDEN AVENUE                   ,GREENPOINT AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3879111,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,12:00,BRONX,10458,40.865303,-73.89006,"(40.865303, -73.89006)",MARION AVENUE                   ,EAST 195 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3876048,PASSENGER VEHICLE,,,,
04/03/2018,12:09,,,40.66573,-73.75376,"(40.66573, -73.75376)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874682,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,12:10,MANHATTAN,10001,40.750294,-73.99485,"(40.750294, -73.99485)",WEST 31 STREET                  ,8 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3874899,TAXI,TAXI,,,
04/03/2018,12:15,BROOKLYN,11207,40.66361,-73.88363,"(40.66361, -73.88363)",,,696       JEROME STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3874825,PASSENGER VEHICLE,,,,
04/03/2018,12:15,BROOKLYN,11229,40.605072,-73.94277,"(40.605072, -73.94277)",NOSTRAND AVENUE                 ,AVENUE S,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874782,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,12:15,,,,,,WEST HOUSTON STREET             ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3874942,FB,PASSENGER VEHICLE,,,
04/03/2018,12:15,,,,,,101 AVENUE                      ,VANWYCK EXPRESSWAY,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3874442,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/03/2018,12:20,BROOKLYN,11214,40.61278,-73.996605,"(40.61278, -73.996605)",18 AVENUE                       ,76 STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3874544,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/03/2018,12:20,,,40.875122,-73.905174,"(40.875122, -73.905174)",MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3874754,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
